"","O3","vh","wind","humidity","temp","ibh","dpg","ibt","vis","doy"
"2",5,5700,3,37,45,590,-24,128,100,34
"3",5,5760,3,51,54,1450,25,139,60,35
"4",6,5720,4,69,35,1568,15,121,60,36
"5",4,5790,6,19,45,2631,-33,123,100,37
"6",4,5790,3,25,55,554,-28,182,250,38
"8",7,5700,3,59,44,2654,-2,91,120,40
"9",4,5770,8,27,54,5000,-19,92,120,41
"10",6,5720,3,44,51,111,9,173,150,42
"12",4,5780,6,19,54,5000,-44,135,200,44
"13",4,5830,3,19,58,1249,-53,243,250,45
"14",7,5870,2,19,61,5000,-67,186,200,46
"15",5,5840,5,19,64,5000,-40,174,200,47
"16",9,5780,4,59,67,639,1,189,150,48
"17",4,5680,5,73,52,393,-68,210,10,49
"18",3,5720,4,19,54,5000,-66,126,140,50
"20",4,5730,4,26,58,5000,-26,111,200,52
"21",5,5700,5,59,69,3044,18,116,150,53
"22",6,5650,5,70,51,3641,23,87,140,54
"24",6,5820,5,19,59,597,-52,214,70,57
"26",11,5790,3,28,63,793,-15,188,120,60
"27",10,5800,2,32,63,531,-38,244,40,61
"28",7,5820,5,19,62,419,-29,243,120,61
"29",12,5770,8,76,63,816,-7,190,6,62
"30",9,5670,3,69,54,3651,62,95,30,63
"31",2,5590,3,76,36,5000,70,33,100,64
"32",3,5410,6,64,31,5000,28,2,200,65
"33",3,5350,7,62,30,1341,18,77,60,66
"34",2,5480,9,72,36,5000,0,37,350,67
"35",3,5600,7,76,42,3799,-18,77,250,68
"36",3,5490,11,72,37,5000,32,34,350,69
"37",4,5560,10,72,41,5000,-1,31,300,70
"38",6,5700,3,32,46,5000,-30,77,300,71
"40",6,5700,4,86,55,2398,21,121,200,73
"42",3,5610,5,62,41,4281,42,52,250,75
"44",11,5770,5,68,45,2778,2,132,200,77
"45",13,5770,3,82,55,442,26,146,40,78
"46",6,5690,8,21,41,5000,-30,57,300,80
"47",5,5700,3,19,45,5000,-53,66,300,81
"48",4,5730,11,19,51,5000,-43,95,300,82
"49",4,5690,7,19,53,5000,7,95,300,83
"51",10,5720,6,63,60,1341,19,151,150,85
"52",15,5740,3,54,54,1318,2,181,150,86
"53",23,5740,3,47,53,885,-4,195,80,87
"54",17,5740,3,56,53,360,3,195,40,88
"56",2,5550,10,74,40,5000,73,45,80,91
"57",3,5470,7,46,30,5000,44,-15,300,92
"58",3,5320,11,45,25,5000,39,-25,200,93
"59",4,5530,3,43,40,5000,-12,9,140,95
"60",6,5600,3,21,45,5000,-2,39,140,96
"61",7,5660,7,57,51,5000,30,56,140,97
"62",7,5580,5,42,48,3608,24,41,100,98
"64",3,5530,5,61,47,5000,56,20,200,100
"67",12,5760,4,31,56,334,-9,180,300,103
"68",12,5740,3,66,53,567,13,166,150,104
"69",16,5780,5,53,61,488,-20,183,2,105
"70",9,5790,2,42,63,531,-15,217,50,106
"71",24,5760,3,60,70,508,7,192,70,107
"72",13,5700,4,82,57,1571,68,135,17,108
"73",8,5680,4,57,35,721,28,130,140,109
"74",10,5720,5,21,52,505,-49,196,140,110
"75",8,5720,5,19,59,377,-27,229,300,111
"76",9,5730,4,32,67,442,-9,243,200,112
"77",10,5710,5,77,57,902,54,158,250,113
"79",9,5710,3,19,55,5000,-16,100,100,116
"80",11,5600,6,45,40,5000,38,83,150,117
