,Coach,From,To,Last School,Yrs,G,W,L,W-L%,CREG,CTRN,NCAA,FF,NC
0,Tom Abatemarco,1987,2000,Sacramento State,7,191,70,121,.366,0,0,0,0,0
1,Paul Abbott,1917,1917,Northern Colorado,1,12,5,7,.417,0,0,,,
2,Ron Abegglen,1992,1999,Weber State,8,235,151,84,.643,3,2,2,0,0
3,Earl Abell,1918,1919,Virginia Military Institute,2,26,14,12,.538,0,0,,,
4,Stu Aberdeen,1978,1979,Marshall,2,56,25,31,.446,0,0,0,0,0
5,Ron Abernathy,1990,1991,Tennessee State,2,55,12,43,.218,0,0,0,0,0
6,Howard Acher,1916,1925,Tulsa,7,87,46,41,.529,0,0,,,
7,Dick Acres,1983,1985,Oral Roberts,3,81,47,34,.580,1,1,1,0,0
8,C.W. Adams,1912,1913,Arizona State,2,16,11,5,.688,0,0,,,
9,Frank Adams,1945,1949,Fordham,5,113,54,59,.478,0,0,0,0,0
10,Harry Adams,1925,1948,Kent State,3,66,34,32,.515,0,0,0,0,0
11,James Adams,1912,1913,Roanoke,2,18,9,9,.500,0,0,,,
12,Mark Adams,1992,1996,Central Connecticut State,5,135,40,95,.296,0,0,0,0,0
13,Mark Adams,1993,1997,Texas-Rio Grande Valley,5,134,44,90,.328,0,0,0,0,0
14,Marvin Adams,1977,1984,Arkansas State,8,218,110,108,.505,0,0,0,0,0
15,Ron Adams,1987,1990,Fresno State,4,115,43,72,.374,0,0,0,0,0
16,Mike Adras,2000,2012,Northern Arizona,13,363,193,170,.532,2,1,1,0,0
17,Gurney Afflerbach,1918,1919,Muhlenburg,2,25,7,18,.280,0,0,,,
18,Jesse Agel,2009,2012,Brown,4,118,39,79,.331,0,0,0,0,0
19,Steve Aggers,1996,2005,Loyola Marymount,10,278,106,172,.381,1,0,0,0,0
20,Mike Ahearn,1907,1911,Kansas State,5,55,28,27,.509,0,0,,,
21,Henry Ahrens,1904,1904,Brown,1,19,8,11,.421,0,0,,,
22,Paul Aiello,1998,1998,Colgate,1,6,3,3,.500,0,0,0,0,0
23,Jim Aiken,1945,1945,Nevada,1,17,8,9,.471,0,0,0,0,0
24,Gerald Alaimo,1970,1978,Brown,9,233,88,145,.378,0,0,0,0,0
25,Stan Albeck,1969,1991,Bradley,7,196,90,106,.459,1,1,1,0,0
26,Randy Albrecht,1975,1977,Saint Louis,3,79,32,47,.405,0,0,0,0,0
27,A.K. Aldinger,1902,1905,Bloomsburg,4,30,19,11,.633,0,0,,,
28,Casey Alexander,2012,2016,Lipscomb,5,154,65,89,.422,0,0,0,0,0
29,Cy Alexander,1988,2016,North Carolina A&T,26,772,386,386,.500,6,6,6,0,0
30,Louis Alexander,1928,1944,Rochester (NY),6,83,58,25,.699,0,0,0,0,0
31,Rex Alexander,1955,1958,Murray State,4,99,45,54,.455,0,0,0,0,0
32,William Alexander,1920,1924,Georgia Tech,4,74,36,38,.486,0,0,,,
33,Steve Alford,1996,2016,UCLA,21,696,450,246,.647,4,5,9,0,0
34,Bill Allen,1920,1920,Bradley,1,6,2,4,.333,0,0,,,
35,Claude Allen,1910,1914,St. John's (NY),4,68,46,22,.676,0,0,,,
36,Eck Allen,1939,1947,Maine,5,90,58,32,.644,0,0,1,0,0
37,Frankie Allen,1988,2014,Maryland-Eastern Shore,24,698,265,433,.380,2,2,2,0,0
38,Harvey Allen,1914,1914,Tulsa,1,5,3,2,.600,0,0,,,
39,James Allen,1923,1925,Navy,3,59,47,12,.797,0,0,,,
40,Jerome Allen,2010,2015,Pennsylvania,6,169,65,104,.385,0,0,0,0,0
41,Phog Allen,1906,1956,Central Missouri,48,978,719,259,.735,24,0,4,3,1
42,Sonny Allen,1950,1987,Nevada,14,386,202,184,.523,2,2,2,0,0
